column,review_lo,review_hi,n_flagged,pct_flagged
LA_circularity,0.2,1.0,1,0.19
LA_sphericity_index,0.2,1.5,5,0.95
LAD-long,2.0,9.0,1,0.19
LAD-trans,1.0,8.0,1,0.24
LAEF,5.0,90.0,32,6.63
LAVI,3.0,150.0,5,0.97
LAVmax,5.0,250.0,6,1.13
LAVmin,3.0,200.0,14,2.9
LAVmin-i,1.0,120.0,10,2.12
MAT_area,0.5,30.0,1,0.19
